Temperatura (°C),pH,Tempo (h),Glicose (g/L),Agitação (rpm),Tipo de Fermentador,Operador Responsável,Rendimento Etanol (%)
39.54,4.4,41.2,9999.0,108.7,TIPO C,ana,48.43
36.63,5.61,28.6,177.6,253.2,Tipo C,bruno,53.9
,4.37,44.5,108.4,214.5,Tipo-B,Ana,53.37
38.42,4.17,26.8,189.0,185.1,tipo a,Desconhecido,45.36
33.97,4.87,30.9,147.2,248.8,Tipo-B,,46.2
38.83,5.32,29.2,174.4,293.2,tipo a,Carlos,48.61
,4.88,28.1,114.0,145.8,tipo a,Carlos,32.05
27.94,4.55,39.9,167.1,128.7,Tipo-B,Desconhecido,53.59
25.68,5.12,31.0,123.6,282.6,TIPO C,Carlos,39.55
,4.69,23.4,143.8,233.8,Tipo B,ana,43.42
30.83,5.87,21.3,101.7,187.6,tipo a,bruno,33.48
29.07,5.85,13.4,115.2,214.7,TIPO C,bruno,34.23
37.43,5.0,33.0,109.2,249.1,Tipo C,ana,48.49
30.35,4.66,20.3,9999.0,254.6,Tipo C,Bruno,32.39
,5.47,17.3,110.0,284.0,tipo a,bruno,37.29
33.14,4.07,35.5,9999.0,,Tipo B,,45.38
27.11,4.95,36.5,102.9,158.7,tipo a,Carlos,45.6
37.03,4.67,39.1,9999.0,227.9,Tipo C,,51.43
26.12,5.84,30.1,114.1,183.1,Desconhecido,ana,33.82
39.8,4.02,44.2,194.5,218.9,Tipo C,Ana,53.91
36.58,5.11,45.7,193.3,184.0,Tipo-B,Bruno,60.08
27.98,5.48,41.1,122.6,130.6,Desconhecido,Ana,51.26
25.08,4.97,34.9,161.4,193.9,Tipo B,,32.88
37.23,4.17,22.9,102.8,238.2,Tipo-B,Carlos,37.44
35.6,5.94,47.4,193.2,259.9,Desconhecido,,55.55
35.94,5.04,21.9,152.3,198.7,TIPO C,Ana,30.48
36.57,5.23,19.3,104.3,133.0,Desconhecido,Carlos,37.72
26.11,4.47,27.9,134.2,182.9,TIPO C,bruno,45.58
30.38,4.97,,107.7,257.3,TIPO C,Bruno,35.89
26.74,4.86,47.2,139.3,182.6,Desconhecido,Desconhecido,40.4
37.95,4.15,33.2,167.0,239.3,Desconhecido,Carlos,47.28
34.35,4.21,32.1,147.0,201.4,Tipo A,ana,39.4
29.96,5.67,35.6,138.4,148.2,Desconhecido,ana,40.95
25.95,4.48,29.9,111.9,259.2,TIPO C,bruno,36.81
29.66,-1.0,13.2,124.5,116.8,tipo a,ana,14.59
29.88,5.01,34.0,110.0,205.0,Tipo-B,Ana,32.54
35.94,5.54,,180.7,141.8,TIPO C,bruno,49.26
34.56,4.12,27.0,113.5,113.4,Tipo B,ana,37.94
38.31,5.15,,159.5,200.6,,Ana,50.53
32.08,4.24,20.2,9999.0,199.9,Desconhecido,Ana,26.3
26.79,4.07,20.0,122.6,241.4,TIPO C,Ana,27.61
35.7,4.11,17.8,163.9,249.0,tipo a,ana,40.27
36.41,5.67,,145.7,245.6,,Ana,37.5
33.42,4.24,42.5,140.0,181.9,Desconhecido,,47.28
36.56,4.09,41.8,159.3,226.3,tipo a,Bruno,57.14
32.41,4.88,25.8,149.1,215.4,,ana,37.81
32.84,5.69,33.2,130.3,184.3,,Ana,46.02
31.41,4.52,37.9,155.9,219.4,tipo a,Bruno,49.64
25.38,4.84,20.7,166.9,289.4,tipo a,,29.05
26.62,4.08,18.1,102.7,138.6,tipo a,Desconhecido,21.58
25.47,4.9,47.0,146.6,281.2,Tipo B,Bruno,45.88
34.55,5.16,34.2,105.8,110.7,Tipo A,ana,38.66
29.72,5.14,47.3,9999.0,161.7,Tipo C,ana,56.65
32.63,4.66,24.2,156.1,157.6,Tipo A,Ana,33.04
38.61,4.63,37.3,9999.0,225.3,Tipo C,,50.25
28.74,4.21,20.0,188.3,126.2,Tipo-B,,30.46
31.16,4.73,21.4,107.0,276.5,Desconhecido,,36.21
36.33,4.2,30.4,141.9,265.7,tipo a,ana,35.84
28.43,5.53,23.5,158.3,230.4,Tipo-B,Desconhecido,40.84
26.15,5.93,18.0,114.7,191.7,Tipo-B,,34.35
29.35,5.94,21.5,176.5,286.6,Desconhecido,bruno,33.66
27.42,5.73,13.3,174.4,266.1,Tipo C,Bruno,16.3
38.95,5.2,37.4,190.3,199.9,Tipo B,bruno,46.91
37.12,5.4,29.7,100.8,240.4,tipo a,Desconhecido,43.74
34.5,4.57,15.4,121.7,213.4,,Bruno,32.53
38.07,5.26,18.2,182.7,217.6,TIPO C,Ana,35.06
37.06,4.91,15.7,167.1,166.2,Desconhecido,Bruno,38.75
27.8,4.96,34.1,189.4,192.4,,Ana,41.38
38.39,5.52,15.4,105.7,115.6,Desconhecido,Carlos,35.48
33.09,4.56,39.2,159.7,171.5,,Bruno,48.64
37.11,4.64,12.7,156.9,239.2,Tipo-B,Bruno,28.34
38.44,5.85,21.0,103.6,290.6,Tipo A,bruno,38.98
,4.11,44.1,151.4,292.6,,bruno,50.23
26.65,4.97,37.9,161.0,211.1,tipo a,Desconhecido,50.44
28.42,5.83,,119.1,221.3,,Ana,40.95
31.41,5.22,41.6,127.3,137.1,Tipo B,ana,44.13
37.27,5.09,29.7,164.0,239.1,tipo a,bruno,48.91
37.91,4.5,42.5,146.8,114.1,TIPO C,,55.14
25.1,4.69,,185.8,156.9,TIPO C,Desconhecido,51.06
32.66,5.7,36.5,134.2,233.7,Tipo-B,Ana,50.17
31.26,5.12,47.8,126.7,162.1,,Ana,61.58
28.33,5.03,20.4,198.5,110.0,Tipo A,Ana,28.74
26.8,4.2,34.5,9999.0,266.4,Tipo-B,Carlos,36.98
30.06,4.03,28.6,102.9,162.1,Tipo B,Ana,31.12
39.14,5.93,13.4,177.1,112.6,Tipo C,Desconhecido,29.23
29.85,4.75,12.5,111.0,115.0,TIPO C,Ana,32.57
32.78,5.21,16.3,102.7,150.4,Tipo A,ana,37.84
35.55,4.16,35.4,127.4,135.6,TIPO C,ana,42.33
30.45,5.37,32.4,126.9,254.9,Tipo B,Ana,41.96
39.58,5.87,31.9,181.9,164.3,Tipo B,Desconhecido,39.14
39.44,5.15,13.1,171.1,260.9,,Bruno,33.68
28.78,4.25,,198.2,134.8,TIPO C,Ana,38.09
32.46,5.16,45.3,171.2,198.6,Tipo-B,Desconhecido,53.03
29.51,5.53,26.3,141.8,237.6,TIPO C,bruno,43.37
29.27,4.81,34.5,169.9,230.4,,Desconhecido,46.92
25.55,5.76,40.1,199.9,220.2,Tipo-B,Carlos,40.5
34.14,5.3,40.2,171.0,285.0,TIPO C,bruno,38.83
32.54,5.8,30.7,176.2,145.7,Tipo-B,ana,43.94
25.77,-1.0,42.9,193.8,198.7,,ana,51.29
29.18,4.26,26.1,111.4,276.8,Tipo C,Bruno,37.88
38.62,4.62,44.0,170.5,115.6,tipo a,Bruno,55.51
28.59,4.4,20.6,185.1,111.2,tipo a,Desconhecido,26.98
27.17,5.82,22.1,195.4,146.7,Tipo-B,Desconhecido,32.14
32.34,5.52,13.9,9999.0,226.6,Tipo-B,Ana,27.06
39.78,5.35,40.6,150.4,152.0,Desconhecido,,51.71
28.63,4.6,27.0,168.1,138.0,Desconhecido,,42.13
,4.37,20.2,124.7,191.8,Tipo C,Ana,30.99
36.42,5.51,20.3,160.0,222.7,,ana,30.42
28.56,4.95,44.5,125.8,149.7,tipo a,Carlos,56.73
35.92,4.45,42.0,133.3,160.1,Tipo C,,47.08
30.52,5.23,31.9,144.2,222.7,Desconhecido,Ana,48.33
34.48,4.08,34.2,152.9,289.1,Desconhecido,ana,55.55
34.5,4.65,29.1,144.9,234.9,Tipo B,Desconhecido,49.54
33.04,4.94,26.1,149.3,256.6,TIPO C,,43.15
26.35,-1.0,45.0,129.9,173.4,Desconhecido,Desconhecido,47.66
37.53,5.97,16.5,115.9,154.5,tipo a,Ana,34.64
29.81,4.42,27.1,104.7,190.9,Tipo-B,,36.31
27.8,4.26,24.4,119.6,261.4,,Carlos,41.34
25.61,4.41,29.9,158.2,191.3,Tipo A,ana,41.67
33.86,5.54,28.5,178.6,269.3,Desconhecido,Desconhecido,44.12
35.16,4.85,30.7,116.9,297.8,Tipo B,ana,43.75
25.25,5.13,17.0,110.9,114.4,TIPO C,Carlos,24.83
32.68,-1.0,30.5,174.9,109.1,Tipo A,Desconhecido,39.96
28.4,4.07,20.7,9999.0,129.9,Tipo C,ana,31.42
34.68,-1.0,18.6,195.1,176.9,TIPO C,Carlos,34.16
,5.63,14.3,171.4,126.2,Tipo C,Carlos,28.69
35.36,5.77,39.5,132.7,274.1,Tipo C,Carlos,53.9
30.8,4.17,27.4,129.0,104.6,Tipo-B,Ana,37.46
39.05,5.08,34.6,152.4,163.2,Tipo C,Bruno,45.06
27.06,5.83,38.2,107.9,136.9,Desconhecido,ana,28.59
30.12,-1.0,36.5,111.8,286.3,Tipo A,Carlos,51.55
26.7,5.66,28.9,117.6,233.9,Tipo B,ana,36.61
38.87,4.27,26.0,177.5,282.4,,Carlos,42.83
38.16,5.87,25.5,151.4,294.5,Desconhecido,ana,42.73
28.87,5.5,35.0,101.1,199.4,Tipo-B,Desconhecido,44.95
34.9,5.88,29.8,167.4,146.9,Tipo B,ana,44.65
37.26,-1.0,42.6,142.4,138.7,Tipo C,,57.22
33.33,4.73,43.5,151.1,144.6,tipo a,Bruno,55.52
32.94,5.88,18.1,121.4,241.7,TIPO C,Desconhecido,15.34
28.63,4.55,16.9,155.2,108.1,Tipo-B,Desconhecido,31.33
26.4,4.66,34.7,197.9,110.3,Tipo C,Carlos,44.61
38.46,5.4,22.8,107.3,221.6,Tipo-B,bruno,36.29
38.51,5.53,12.7,128.4,228.4,tipo a,,32.73
34.5,5.86,44.0,124.3,233.1,,Bruno,51.11
30.09,4.41,20.2,124.9,174.4,Tipo A,Desconhecido,28.94
,5.6,45.5,137.9,,Desconhecido,bruno,58.23
35.89,5.48,37.8,9999.0,206.7,Tipo A,bruno,51.42
38.46,4.13,39.5,191.3,121.1,TIPO C,Desconhecido,50.88
38.31,4.77,19.3,120.2,259.4,Tipo A,Carlos,25.42
36.7,4.57,20.4,154.3,290.6,,Ana,47.71
34.63,4.61,30.8,163.7,112.0,Desconhecido,Desconhecido,33.25
26.26,5.97,18.2,152.2,,Desconhecido,Carlos,30.79
27.42,5.29,23.0,143.4,197.5,,Bruno,37.85
38.48,5.44,23.6,119.2,129.3,tipo a,Carlos,45.69
34.1,5.95,17.7,148.8,273.5,Tipo B,bruno,27.07
25.14,4.75,19.4,140.1,156.8,,,26.17
26.52,5.6,40.4,179.6,256.6,tipo a,,51.94
34.95,4.87,18.0,176.4,234.2,tipo a,Bruno,38.34
25.08,5.74,13.0,113.4,219.6,Tipo C,,32.54
27.41,4.36,34.7,108.9,138.4,,Bruno,46.02
33.23,5.9,47.1,190.8,144.1,Tipo A,Ana,52.11
35.38,4.44,23.9,153.6,109.5,Tipo-B,Ana,36.45
34.78,4.65,16.3,185.8,148.1,Desconhecido,Desconhecido,35.48
28.36,5.51,32.5,105.8,169.1,TIPO C,,32.31
35.68,4.79,44.6,152.7,266.6,Tipo B,Carlos,57.68
28.56,5.22,40.2,153.9,173.3,Desconhecido,Desconhecido,50.99
29.88,4.89,34.4,186.1,250.9,Tipo-B,Ana,41.77
36.2,5.48,23.3,109.8,187.9,Tipo C,bruno,35.5
34.74,4.46,31.5,124.0,257.0,,Ana,33.17
37.74,4.12,15.3,140.7,295.3,Tipo C,Carlos,36.43
34.86,4.6,36.4,186.6,148.0,Tipo B,bruno,50.04
,4.95,38.1,193.9,272.5,Tipo-B,,43.99
26.41,4.34,46.7,199.3,224.4,Tipo B,Desconhecido,47.44
30.52,4.71,21.4,195.9,263.5,Tipo B,Desconhecido,34.37
28.98,4.8,12.7,100.6,230.3,Tipo A,Ana,30.56
28.66,4.11,31.6,104.8,184.8,,Ana,40.75
39.6,5.17,37.4,114.8,145.6,Tipo-B,,44.64
30.9,5.77,40.5,134.9,114.0,Tipo A,ana,43.44
38.38,4.3,19.0,183.0,207.1,Desconhecido,Desconhecido,36.19
34.47,5.2,21.4,189.3,298.1,Tipo A,,34.41
36.92,5.33,30.5,118.7,247.6,Desconhecido,Desconhecido,40.77
32.54,4.84,23.9,162.0,165.5,TIPO C,Bruno,40.85
33.65,5.4,43.0,191.7,265.4,Tipo A,Carlos,47.56
32.39,4.82,29.1,146.4,253.8,tipo a,Bruno,40.88
27.93,5.01,40.8,110.4,156.3,Tipo C,Bruno,45.55
35.84,4.01,32.9,145.8,102.9,Tipo C,Desconhecido,41.77
29.21,5.38,39.8,137.6,123.6,tipo a,ana,47.88
25.36,5.32,24.0,9999.0,275.5,Desconhecido,,38.43
34.68,4.08,41.9,143.9,267.3,Desconhecido,,54.1
27.66,4.74,21.9,101.7,159.0,,Carlos,30.23
39.11,5.96,31.7,199.4,157.0,Tipo B,Desconhecido,43.89
39.31,4.84,19.7,154.4,258.6,Tipo-B,Bruno,39.41
38.72,5.0,29.1,147.4,287.5,Tipo-B,Bruno,45.53
30.55,5.82,23.5,195.5,255.8,Tipo-B,,39.41
,5.43,21.6,115.6,221.1,Tipo A,,33.75
38.92,5.16,46.8,118.9,148.5,Tipo-B,Desconhecido,51.54
31.42,5.6,17.8,180.8,205.1,Tipo-B,Ana,41.85
39.5,5.73,40.3,126.1,146.7,Desconhecido,Ana,50.0
39.45,4.91,47.4,179.9,261.6,Tipo-B,Desconhecido,62.85
37.8,4.95,12.7,127.2,177.4,Tipo C,bruno,33.29
,4.77,37.2,103.3,266.7,tipo a,bruno,46.64
30.78,5.93,21.1,151.7,176.3,TIPO C,Ana,33.59
37.77,5.39,13.5,119.7,264.8,Desconhecido,Carlos,35.69
29.75,-1.0,26.5,175.8,166.7,Tipo B,ana,35.94
27.54,5.73,45.7,164.1,188.0,tipo a,Bruno,54.63
33.35,4.96,12.4,192.4,223.1,Tipo-B,,33.17
39.04,-1.0,33.2,178.3,114.1,Tipo B,Carlos,51.0
35.44,5.1,30.1,118.1,289.6,Tipo B,,40.65
33.55,4.83,43.4,180.0,214.7,tipo a,Ana,53.9
26.46,5.76,15.0,164.2,201.6,tipo a,Desconhecido,23.09
34.23,4.41,36.5,166.9,267.9,tipo a,bruno,53.45
39.85,5.65,36.5,183.2,273.2,Desconhecido,Ana,46.77
27.1,5.12,36.1,157.4,204.5,Desconhecido,Carlos,46.3
32.77,4.11,45.9,146.6,285.5,TIPO C,Carlos,50.55
38.16,5.94,41.6,163.7,112.9,tipo a,ana,56.01
36.11,5.03,13.5,129.8,122.6,TIPO C,,29.4
35.46,4.58,29.0,118.3,219.4,Tipo A,Ana,44.46
35.54,4.94,26.3,161.7,170.8,,Bruno,35.09
30.39,5.72,23.2,123.4,192.8,Tipo C,Carlos,30.72
29.4,4.61,28.2,9999.0,165.6,,Bruno,40.5
37.14,4.39,25.8,9999.0,180.9,TIPO C,Bruno,44.55
37.15,4.26,27.6,160.8,264.5,Tipo C,,44.26
38.01,4.6,47.3,136.2,218.7,Tipo-B,Desconhecido,68.42
38.7,-1.0,15.2,175.2,299.5,Tipo A,Ana,38.3
32.67,4.94,45.2,137.5,257.4,Tipo B,Ana,53.74
32.52,4.45,,148.6,154.7,tipo a,Bruno,38.63
36.97,4.33,34.5,140.7,152.9,Tipo-B,Desconhecido,54.35
34.75,4.67,41.9,165.1,167.2,Tipo B,Carlos,55.7
35.53,5.88,25.0,135.6,268.7,Desconhecido,Carlos,35.19
36.94,4.69,27.5,196.4,105.5,Tipo C,Ana,38.8
38.35,-1.0,26.7,193.6,,Tipo B,,36.96
30.07,4.97,25.5,184.8,281.0,,,42.05
30.63,4.36,45.3,192.0,228.0,tipo a,Bruno,45.66
26.41,5.78,41.8,144.9,145.4,tipo a,Desconhecido,43.66
33.67,-1.0,15.9,153.6,143.8,,Desconhecido,32.93
25.54,5.42,15.9,174.2,272.5,TIPO C,Carlos,29.78
31.98,5.97,27.4,169.6,278.8,TIPO C,Carlos,36.61
33.14,4.1,15.6,189.1,151.2,Desconhecido,,33.55
29.3,4.19,34.3,171.6,184.1,Tipo C,bruno,46.25
33.86,5.44,17.2,199.8,266.9,tipo a,bruno,33.52
25.46,4.56,30.8,134.9,254.2,Tipo A,Bruno,36.74
25.56,4.37,12.3,183.3,262.8,Tipo-B,bruno,30.87
37.34,4.08,23.4,169.8,203.7,Tipo C,Desconhecido,36.7
30.4,4.04,36.4,169.1,282.3,Tipo C,bruno,45.13
26.91,5.55,29.4,9999.0,165.2,Tipo B,Ana,41.62
32.83,4.27,47.2,178.6,131.3,Tipo C,Ana,48.38
36.55,-1.0,43.5,190.0,241.7,Desconhecido,ana,52.74
28.24,5.21,24.9,121.9,207.9,,Carlos,34.31
34.34,4.86,13.6,162.5,270.9,Tipo-B,Carlos,41.04
26.28,4.05,42.4,139.2,116.2,Tipo A,,39.18
25.78,-1.0,44.8,199.0,268.7,Tipo B,Bruno,51.96
32.97,4.02,41.5,147.9,158.7,Tipo-B,Ana,43.54
33.11,5.52,16.6,122.8,231.0,,ana,42.55
34.56,5.79,47.9,138.2,108.0,,Bruno,54.78
35.89,4.87,21.3,165.4,221.9,TIPO C,Bruno,32.71
39.64,5.07,38.1,107.6,243.5,Tipo C,,41.83
32.74,4.95,44.7,160.4,173.8,Desconhecido,bruno,56.22
29.84,4.78,20.5,193.1,143.1,tipo a,Carlos,35.37
36.93,5.77,44.7,185.0,207.5,TIPO C,Bruno,57.6
29.06,5.79,23.1,106.8,266.6,tipo a,Bruno,28.27
31.58,4.67,47.2,199.3,164.7,Tipo-B,Carlos,64.7
26.18,5.23,22.1,169.9,150.5,Tipo A,,33.94
,5.85,,9999.0,155.8,tipo a,Carlos,50.24
,5.92,13.9,101.2,289.8,Desconhecido,Ana,33.14
37.54,5.02,37.5,117.1,171.9,Tipo-B,Carlos,48.91
35.44,4.91,31.2,183.8,100.7,Tipo B,bruno,50.57
31.13,4.56,29.2,102.2,256.3,Tipo C,Ana,36.85
27.6,5.92,20.0,123.3,239.9,Tipo A,,35.18
27.35,4.29,37.4,175.7,125.7,,ana,50.91
28.75,5.16,18.9,158.6,297.0,Desconhecido,Bruno,38.5
33.24,4.57,31.9,178.3,221.6,Desconhecido,bruno,51.49
35.72,4.56,21.1,174.6,200.2,Tipo A,bruno,33.23
34.9,4.81,46.4,105.1,176.4,Tipo B,Ana,56.07
29.2,6.0,13.0,189.3,279.7,Tipo A,Bruno,29.53
39.32,4.11,19.2,122.7,148.8,Tipo-B,Ana,33.68
36.07,5.16,20.7,9999.0,157.2,Tipo A,Desconhecido,39.27
33.32,4.17,26.9,164.4,124.5,Tipo A,Desconhecido,43.98
34.18,4.31,20.4,116.9,251.8,Tipo A,Ana,30.17
31.29,4.88,29.7,197.6,219.1,,Bruno,36.83
28.72,5.02,43.4,148.8,221.8,Tipo-B,,49.7
,4.52,37.6,105.8,143.7,TIPO C,Bruno,31.97
36.37,4.63,32.9,193.7,230.2,Tipo C,Carlos,46.64
25.22,4.17,15.2,158.6,253.1,tipo a,,34.22
26.74,-1.0,37.0,169.9,171.6,TIPO C,bruno,37.74
25.69,5.93,18.0,152.5,260.3,Tipo A,Ana,26.68
25.61,5.89,40.3,183.5,169.8,Tipo B,,40.02
37.83,4.67,21.0,103.3,251.6,Desconhecido,bruno,38.21
35.55,5.14,27.0,126.8,106.7,Tipo B,,42.49
32.11,5.82,24.6,147.0,210.2,Tipo-B,bruno,36.25
26.47,4.01,42.9,107.7,293.9,Tipo C,Desconhecido,43.08
32.37,5.62,16.6,170.6,296.2,Tipo A,Desconhecido,33.43
32.1,5.9,32.4,139.4,156.4,Tipo-B,ana,47.03
27.6,4.18,17.1,9999.0,188.3,tipo a,,32.35
31.51,4.32,37.4,100.3,112.6,Tipo C,,41.59
30.98,5.92,44.6,172.0,274.7,Tipo C,Ana,49.99
34.24,5.08,27.6,183.4,213.7,Tipo-B,ana,40.3
34.53,4.03,29.6,139.5,177.0,TIPO C,Ana,42.04
25.68,4.52,45.4,156.4,122.6,Desconhecido,Bruno,42.73
30.62,4.9,30.8,122.8,289.4,Tipo B,Ana,44.58
34.39,5.39,29.6,162.2,206.0,TIPO C,,39.77
32.55,5.47,,101.2,156.6,Tipo C,Bruno,40.37
37.85,5.99,36.8,148.9,170.0,Tipo B,Bruno,42.81
34.88,4.58,15.8,164.4,154.1,Tipo C,Ana,35.52
27.44,5.08,41.6,191.8,220.4,,Bruno,47.13
26.06,5.07,27.7,138.1,286.0,Desconhecido,bruno,33.38
34.64,4.81,14.6,176.5,271.3,Tipo C,Bruno,29.83
25.4,4.34,40.3,159.8,192.1,Tipo C,bruno,40.59
33.79,5.95,25.6,9999.0,265.3,tipo a,bruno,43.16
39.1,5.71,,139.8,184.6,Tipo B,bruno,26.63
33.63,5.0,34.8,131.9,150.5,tipo a,Carlos,44.81
30.82,5.21,43.7,188.7,296.7,Tipo B,ana,50.36
34.65,4.45,44.0,104.9,160.8,Desconhecido,,58.68
31.87,5.09,46.5,113.6,164.7,Desconhecido,Carlos,54.76
33.18,-1.0,43.2,108.2,297.9,,,48.4
39.12,5.03,12.1,184.3,126.8,tipo a,,32.36
30.79,5.98,25.7,101.1,252.1,tipo a,Bruno,30.19
39.42,5.22,41.5,186.2,287.2,tipo a,ana,58.56
,4.74,25.2,145.1,202.4,Desconhecido,,41.37
27.94,5.54,33.7,100.4,100.5,Desconhecido,ana,41.79
26.04,4.34,33.8,140.2,175.0,Tipo-B,ana,35.89
26.51,-1.0,25.1,118.7,122.3,tipo a,Ana,27.19
25.27,4.69,44.6,9999.0,183.2,,Bruno,41.68
,-1.0,30.1,9999.0,258.0,TIPO C,Carlos,32.79
35.25,5.56,28.7,148.8,187.7,TIPO C,ana,41.25
26.07,4.97,47.9,9999.0,186.4,Tipo C,,60.95
29.78,5.59,29.8,165.6,211.4,Tipo A,ana,38.46
37.67,5.15,18.4,184.2,216.3,tipo a,,33.62
25.35,4.68,30.5,9999.0,271.3,Tipo A,Desconhecido,40.35
37.22,5.62,41.3,183.0,161.7,Tipo A,ana,48.08
29.23,4.48,40.0,120.1,264.3,Tipo C,ana,40.82
26.77,4.45,40.4,188.9,213.2,Tipo A,Desconhecido,44.77
35.45,5.01,37.5,132.2,160.1,,Bruno,46.73
34.43,4.52,21.2,101.3,,Desconhecido,Carlos,42.99
38.16,4.02,43.0,184.3,172.2,Tipo A,bruno,49.94
,5.3,44.2,194.2,224.5,Desconhecido,Carlos,56.36
37.05,5.02,19.0,165.6,146.2,Desconhecido,Bruno,28.63
29.23,4.89,16.7,123.1,284.1,TIPO C,Carlos,34.19
27.66,5.93,47.1,125.2,215.0,Desconhecido,Desconhecido,46.43
36.26,5.14,43.3,146.7,284.0,Tipo A,ana,48.49
37.1,5.73,44.2,189.8,109.3,Tipo B,ana,48.28
39.86,4.28,43.9,9999.0,168.5,,bruno,49.5
31.19,5.14,31.5,182.6,104.6,tipo a,Bruno,36.8
30.58,5.74,35.3,129.1,154.5,,ana,44.21
36.65,5.17,31.6,180.9,272.4,,Bruno,41.04
30.11,5.44,13.8,192.0,107.3,tipo a,Ana,32.02
38.96,4.74,38.8,142.7,187.2,Tipo A,,48.16
37.88,4.18,30.2,136.5,123.5,Tipo C,bruno,36.88
31.43,4.92,35.3,180.2,183.4,Tipo B,,42.87
36.26,4.79,30.1,152.9,267.8,Tipo C,Bruno,39.15
36.32,5.73,29.7,168.4,224.6,Tipo C,Carlos,42.87
26.55,4.49,18.2,162.3,247.4,Tipo A,Carlos,28.22
38.54,5.93,22.0,115.3,169.8,Tipo-B,Carlos,40.48
32.58,5.92,17.7,184.5,288.9,Tipo A,Carlos,21.12
37.4,4.5,19.0,119.6,,TIPO C,Bruno,40.45
29.8,4.7,47.0,193.2,184.4,Tipo-B,Desconhecido,51.24
38.43,5.79,17.5,125.1,185.3,Desconhecido,bruno,40.55
30.84,5.93,21.7,173.4,283.7,Tipo B,Carlos,35.07
25.16,4.89,33.3,128.5,215.3,Tipo-B,Bruno,46.98
38.58,4.64,34.0,131.8,241.3,Tipo A,ana,46.57
26.37,5.05,17.5,131.0,183.4,Tipo A,ana,28.77
29.79,5.38,40.6,174.8,144.7,Tipo C,Bruno,43.94
39.25,4.55,40.3,155.7,244.7,Tipo A,Carlos,52.05
39.26,5.47,20.5,188.3,221.6,Desconhecido,Ana,33.42
33.6,4.1,22.4,130.7,200.3,TIPO C,Bruno,35.09
